1,Audi,Q5,2018,10000,40000,50,Y
2,Audi,Q3,2017,20000,30000,60,Y
3,Audi,A4,2019,2000,35000,40,Y
4,Audi,A4,2019,5000,25000,30,Y
5,Audi,A3,2020,3000,30000,15,Y
6,Audi,Q7,2020,1000,28000,20,Y
7,Audi,A3,2020,300,50000,60,Y
8,Audi,Q7,2019,5000,22000,125,Y
9,Audi,A8,2020,300,28000,135,Y
10,Audi,A8,2020,500,26000,150,Y
11,Audi,Q5,2018,20000,30000,140,Y
12,Audi,Q3,2017,20000,10000,170,Y
13,Audi,Q5,2018,20000,30000,5,Y
14,Audi,Q3,2017,20000,10000,10,Y
15,Audi,Q5,2018,100000,30000,14,Y
16,Audi,Q3,2017,2,50000,17,Y
17,Audi,Q5,2018,700,60000,14,Y
18,Audi,Q3,2017,85,10000,17,Y
19,Audi,Q3,2000,70000,5000,148,Y
20,Audi,Q3,2017,85,40000,32,Y
